nb_mesure, nb_threads, time
1,1,0:00.01
2,1,0:00.00
3,1,0:00.00
4,1,0:00.00
5,1,0:00.00
1,2,0:00.00
2,2,0:00.00
3,2,0:00.00
4,2,0:00.00
5,2,0:00.00
1,4,0:00.01
2,4,0:00.01
3,4,0:00.01
4,4,0:00.01
5,4,0:00.01
1,8,0:00.02
2,8,0:00.02
3,8,0:00.02
4,8,0:00.02
5,8,0:00.02
1,16,0:00.02
2,16,0:00.02
3,16,0:00.02
4,16,0:00.02
5,16,0:00.02
1,32,0:00.02
2,32,0:00.02
3,32,0:00.02
4,32,0:00.03
5,32,0:00.03
1,64,0:00.04
2,64,0:00.04
3,64,0:00.04
4,64,0:00.04
5,64,0:00.04
